nombre_cliente,saldo,fecha
Redfern,10000,2017-01-31
Redfern,7000,2017-02-28
Redfern,0,2017-03-31
Richards,80000,2016-01-31
Richards,75000,2016-02-28
Richards,70000,2016-03-31
Richards,125000,2018-04-30
Richards,120000,2018-05-31
Richards,115000,2018-06-30
Richards,110000,2018-07-31
Richards,105000,2018-08-31
Richards,100000,2018-09-30
Richards,95000,2018-10-31
Richards,90000,2018-11-30
Richards,85000,2018-12-31
Rivera,82000,2016-01-31
Rivera,80000,2016-02-28
Rivera,78000,2016-03-31
Rivera,100000,2018-04-30
Rivera,98000,2018-05-31
Rivera,96000,2018-06-30
Rivera,94000,2018-07-31
Rivera,92000,2018-08-31
Rivera,90000,2018-09-30
Rivera,88000,2018-10-31
Rivera,86000,2018-11-30
Rivera,84000,2018-12-31
